,start_time,end_time,content
0,6.24,6.41,Good
1,6.41,6.89,evening
2,6.9,7.1,from
3,7.1,7.2,the
4,7.2,7.49,health
5,7.49,8.24,education
6,8.24,8.84,campus
7,8.84,9.08,of
8,9.09,9.39,Case
9,9.39,9.84,Western
10,9.84,10.27,Reserve
11,10.27,11.15,University
12,11.15,11.31,and
13,11.31,11.39,the
14,11.39,11.98,Cleveland
15,11.98,12.57,Clinic
16,13.14,13.38,I'm
17,13.38,13.66,Chris
18,13.66,14.12,Wallace
19,14.12,14.25,of
20,14.25,14.64,Fox
21,14.64,15.08,News
22,15.08,15.22,and
23,15.22,15.3,I
24,15.3,15.78,welcome
25,15.78,15.97,you
26,15.97,16.07,to
27,16.07,16.19,the
28,16.19,16.66,first
29,16.66,16.74,of
30,16.74,16.85,the
31,16.85,17.61,2020
32,17.61,18.29,presidential
33,18.29,18.97,debates
34,19.18,19.66,between
35,19.66,20.19,President
36,20.19,20.63,Donald
37,20.63,20.87,J
38,20.87,21.36,Trump
39,21.94,22.16,and
40,22.16,22.42,former
41,22.42,22.72,Vice
42,22.72,23.26,President
43,23.26,23.51,Joe
44,23.51,23.95,Biden
45,24.84,25.02,This
46,25.02,25.36,debate
47,25.36,25.47,is
48,25.47,25.99,sponsored
49,25.99,26.14,by
50,26.14,26.24,the
51,26.24,26.83,Commission
52,26.83,27.1,on
53,27.1,27.78,Presidential
54,27.78,28.41,Debates
55,28.76,28.89,The
56,28.89,29.35,commission
57,29.35,29.52,has
58,29.52,30.05,designed
59,30.05,30.13,the
60,30.13,30.83,format
61,30.83,31.34,six
62,31.34,31.97,roughly
63,31.97,32.59,15
64,32.59,32.87,minute
65,32.87,33.52,segments
66,34.04,34.22,with
67,34.22,34.37,two
68,34.37,34.66,minute
69,34.66,35.12,answers
70,35.12,35.32,from
71,35.32,35.67,each
72,35.67,36.15,candidate
73,36.15,36.26,to
74,36.26,36.37,the
75,36.37,36.76,first
76,36.76,37.45,question
77,37.77,38.0,then
78,38.01,38.4,open
79,38.4,39.09,discussion
80,39.09,39.22,for
81,39.22,39.34,the
82,39.34,39.92,rest
83,39.93,40.11,of
84,40.11,40.34,each
85,40.34,40.76,segment
86,41.34,41.61,Both
87,41.61,42.26,campaigns
88,42.26,42.39,have
89,42.39,42.95,agreed
90,42.95,43.05,to
91,43.05,43.36,these
92,43.36,44.02,rules
93,44.44,44.74,For
94,44.74,44.85,the
95,44.85,45.54,record
96,45.55,45.73,I
97,45.73,46.18,decided
98,46.18,46.28,the
99,46.28,46.96,topics
100,47.34,47.54,on
101,47.54,47.63,the
102,47.63,48.25,questions
103,48.25,48.47,in
104,48.48,48.83,each
105,48.83,49.49,topic
106,49.74,49.87,I
107,49.87,50.04,can
108,50.04,50.35,assure
109,50.35,50.53,you
110,50.54,50.81,none
111,50.81,50.88,of
