,speaker_label,speaker_num,start_time,end_time,speaker_change_index,segment_start_time,segment_end_time
0,Wallace,0,6.24,6.41,0.0,6.24,95.47
1,Wallace,0,6.41,6.89,0.0,6.24,95.47
2,Wallace,0,6.9,7.1,0.0,6.24,95.47
3,Wallace,0,7.1,7.2,0.0,6.24,95.47
4,Wallace,0,7.2,7.49,0.0,6.24,95.47
5,Wallace,0,7.49,8.24,0.0,6.24,95.47
6,Wallace,0,8.24,8.84,0.0,6.24,95.47
7,Wallace,0,8.84,9.08,0.0,6.24,95.47
8,Wallace,0,9.09,9.39,0.0,6.24,95.47
9,Wallace,0,9.39,9.84,0.0,6.24,95.47
10,Wallace,0,9.84,10.27,0.0,6.24,95.47
11,Wallace,0,10.27,11.15,0.0,6.24,95.47
12,Wallace,0,11.15,11.31,0.0,6.24,95.47
13,Wallace,0,11.31,11.39,0.0,6.24,95.47
14,Wallace,0,11.39,11.98,0.0,6.24,95.47
15,Wallace,0,11.98,12.57,0.0,6.24,95.47
16,Wallace,0,13.14,13.38,0.0,6.24,95.47
17,Wallace,0,13.38,13.66,0.0,6.24,95.47
18,Wallace,0,13.66,14.12,0.0,6.24,95.47
19,Wallace,0,14.12,14.25,0.0,6.24,95.47
20,Wallace,0,14.25,14.64,0.0,6.24,95.47
21,Wallace,0,14.64,15.08,0.0,6.24,95.47
22,Wallace,0,15.08,15.22,0.0,6.24,95.47
23,Wallace,0,15.22,15.3,0.0,6.24,95.47
24,Wallace,0,15.3,15.78,0.0,6.24,95.47
25,Wallace,0,15.78,15.97,0.0,6.24,95.47
26,Wallace,0,15.97,16.07,0.0,6.24,95.47
27,Wallace,0,16.07,16.19,0.0,6.24,95.47
28,Wallace,0,16.19,16.66,0.0,6.24,95.47
29,Wallace,0,16.66,16.74,0.0,6.24,95.47
30,Wallace,0,16.74,16.85,0.0,6.24,95.47
31,Wallace,0,16.85,17.61,0.0,6.24,95.47
32,Wallace,0,17.61,18.29,0.0,6.24,95.47
33,Wallace,0,18.29,18.97,0.0,6.24,95.47
34,Wallace,0,19.18,19.66,0.0,6.24,95.47
