,speaker_label,speaker_num,start_time,end_time,start_date_time,end_date_time
0,Wallace,0,6.24,12.57,1970-01-01 00:00:07,1970-01-01 00:00:13
1,Wallace,0,13.14,21.36,1970-01-01 00:00:14,1970-01-01 00:00:22
2,Wallace,0,21.94,23.95,1970-01-01 00:00:22,1970-01-01 00:00:24
3,Wallace,0,24.84,33.52,1970-01-01 00:00:25,1970-01-01 00:00:34
4,Wallace,0,34.04,40.76,1970-01-01 00:00:35,1970-01-01 00:00:41
5,Wallace,0,41.34,55.35,1970-01-01 00:00:42,1970-01-01 00:00:56
6,Wallace,0,56.04,66.56,1970-01-01 00:00:57,1970-01-01 00:01:07
7,Wallace,0,67.14,73.87,1970-01-01 00:01:08,1970-01-01 00:01:14
8,Wallace,0,74.7,86.1,1970-01-01 00:01:15,1970-01-01 00:01:27
9,Wallace,0,86.74,95.47,1970-01-01 00:01:27,1970-01-01 00:01:36
10,Biden,1,98.24,98.45,1970-01-01 00:01:39,1970-01-01 00:01:39
11,Biden,1,105.52,106.1,1970-01-01 00:01:46,1970-01-01 00:01:47
12,Biden,1,109.3,111.94,1970-01-01 00:01:50,1970-01-01 00:01:52
13,Wallace,0,117.44,124.97,1970-01-01 00:01:58,1970-01-01 00:02:05
14,Wallace,0,125.64,140.09,1970-01-01 00:02:06,1970-01-01 00:02:21
15,Wallace,0,140.64,150.33,1970-01-01 00:02:21,1970-01-01 00:02:31
16,Wallace,0,150.84,163.97,1970-01-01 00:02:31,1970-01-01 00:02:44
17,Wallace,0,164.54,167.55,1970-01-01 00:02:45,1970-01-01 00:02:48
18,Trump,2,167.74,205.46,1970-01-01 00:02:48,1970-01-01 00:03:26
19,Trump,2,206.04,218.67,1970-01-01 00:03:27,1970-01-01 00:03:39
20,Trump,2,219.34,232.83,1970-01-01 00:03:40,1970-01-01 00:03:53
21,Trump,2,233.34,234.75,1970-01-01 00:03:54,1970-01-01 00:03:55
22,Trump,2,235.34,248.06,1970-01-01 00:03:56,1970-01-01 00:04:09
23,Wallace,0,248.84,254.36,1970-01-01 00:04:09,1970-01-01 00:04:15
24,Biden,1,254.84,261.76,1970-01-01 00:04:15,1970-01-01 00:04:22
25,Biden,1,262.44,273.87,1970-01-01 00:04:23,1970-01-01 00:04:34
26,Biden,1,275.14,279.07,1970-01-01 00:04:36,1970-01-01 00:04:40
27,Biden,1,279.74,281.06,1970-01-01 00:04:40,1970-01-01 00:04:42
28,Biden,1,281.84,283.85,1970-01-01 00:04:42,1970-01-01 00:04:44
29,Biden,1,284.54,303.55,1970-01-01 00:04:45,1970-01-01 00:05:04
30,Biden,1,304.14,307.77,1970-01-01 00:05:05,1970-01-01 00:05:08
31,Biden,1,308.54,336.07,1970-01-01 00:05:09,1970-01-01 00:05:37
32,Biden,1,336.8,343.62,1970-01-01 00:05:37,1970-01-01 00:05:44
33,Biden,1,344.24,353.45,1970-01-01 00:05:45,1970-01-01 00:05:54
34,Biden,1,354.04,358.47,1970-01-01 00:05:55,1970-01-01 00:05:59
35,Biden,1,359.04,364.17,1970-01-01 00:06:00,1970-01-01 00:06:05
36,Biden,1,364.74,380.56,1970-01-01 00:06:05,1970-01-01 00:06:21
37,Trump,2,380.56,387.35,1970-01-01 00:06:21,1970-01-01 00:06:28
38,Trump,2,388.34,393.47,1970-01-01 00:06:29,1970-01-01 00:06:34
39,Trump,2,394.04,434.23,1970-01-01 00:06:35,1970-01-01 00:07:15
40,Wallace,0,434.24,440.07,1970-01-01 00:07:15,1970-01-01 00:07:21
41,Biden,1,440.07,464.62,1970-01-01 00:07:21,1970-01-01 00:07:45
42,Trump,2,464.62,475.63,1970-01-01 00:07:45,1970-01-01 00:07:56
43,Biden,1,475.64,505.54,1970-01-01 00:07:56,1970-01-01 00:08:26
44,Trump,2,505.55,531.9,1970-01-01 00:08:26,1970-01-01 00:08:52
45,Wallace,0,531.91,533.47,1970-01-01 00:08:52,1970-01-01 00:08:54
46,Wallace,0,534.04,537.41,1970-01-01 00:08:55,1970-01-01 00:08:58
47,Biden,1,537.42,551.21,1970-01-01 00:08:58,1970-01-01 00:09:12
48,Trump,2,551.22,566.74,1970-01-01 00:09:12,1970-01-01 00:09:27
49,Wallace,0,566.75,569.05,1970-01-01 00:09:27,1970-01-01 00:09:30
50,Wallace,0,570.14,592.77,1970-01-01 00:09:31,1970-01-01 00:09:53
51,Trump,2,592.77,594.44,1970-01-01 00:09:53,1970-01-01 00:09:55
52,Wallace,0,594.45,612.67,1970-01-01 00:09:55,1970-01-01 00:10:13
53,Trump,2,612.67,620.8,1970-01-01 00:10:13,1970-01-01 00:10:21
54,Wallace,0,620.8,624.62,1970-01-01 00:10:21,1970-01-01 00:10:25
55,Trump,2,624.62,630.77,1970-01-01 00:10:25,1970-01-01 00:10:31
56,Wallace,0,630.77,644.37,1970-01-01 00:10:31,1970-01-01 00:10:45
57,Wallace,0,645.14,662.36,1970-01-01 00:10:46,1970-01-01 00:11:03
58,Trump,2,662.34,708.62,1970-01-01 00:11:03,1970-01-01 00:11:49
59,Wallace,0,708.62,710.45,1970-01-01 00:11:49,1970-01-01 00:11:51
60,Trump,2,710.45,712.85,1970-01-01 00:11:51,1970-01-01 00:11:53
61,Wallace,0,712.86,730.26,1970-01-01 00:11:53,1970-01-01 00:12:11
62,Wallace,0,731.14,738.68,1970-01-01 00:12:12,1970-01-01 00:12:19
63,Biden,1,738.69,763.83,1970-01-01 00:12:19,1970-01-01 00:12:44
64,Trump,2,763.83,772.78,1970-01-01 00:12:44,1970-01-01 00:12:53
65,Biden,1,772.78,779.86,1970-01-01 00:12:53,1970-01-01 00:13:00
66,Trump,2,779.86,786.29,1970-01-01 00:13:00,1970-01-01 00:13:07
67,Biden,1,786.29,800.37,1970-01-01 00:13:07,1970-01-01 00:13:21
68,Trump,2,800.38,805.51,1970-01-01 00:13:21,1970-01-01 00:13:26
69,Biden,1,805.52,808.53,1970-01-01 00:13:26,1970-01-01 00:13:29
70,Wallace,0,808.53,810.04,1970-01-01 00:13:29,1970-01-01 00:13:31
71,Biden,1,810.05,817.02,1970-01-01 00:13:31,1970-01-01 00:13:38
72,Trump,2,817.03,821.1,1970-01-01 00:13:38,1970-01-01 00:13:42
73,Biden,1,821.11,827.52,1970-01-01 00:13:42,1970-01-01 00:13:48
